Date,Away,Home,Predicted Winner,Win Probability,Predicted Favorite,Model Spread
11/7/2023,Drexel,La Salle,Drexel,64.0%,Drexel,-1.4
11/7/2023,Florida Gulf Coast,Indiana,Indiana,90.5%,Indiana,-15.3
11/7/2023,Albany,Massachusetts,Massachusetts,84.5%,Massachusetts,-12.5
11/7/2023,Stony Brook,St. John's,St. John's,90.6%,St. John's,-16.0
11/7/2023,Mount St. Mary's,Maryland,Maryland,96.2%,Maryland,-21.0
11/7/2023,North Dakota,Iowa,Iowa,97.9%,Iowa,-24.4
11/7/2023,Presbyterian,Vanderbilt,Vanderbilt,92.8%,Vanderbilt,-17.8
11/7/2023,Northern Iowa,North Texas,North Texas,64.1%,North Texas,-5.8
11/7/2023,UNC Asheville,Michigan,Michigan,92.7%,Michigan,-16.2
11/7/2023,Florida A&M,Creighton,Creighton,98.6%,Creighton,-26.7
11/7/2023,Purdue Fort Wayne,DePaul,DePaul,81.2%,DePaul,-11.2
11/7/2023,Auburn*,Baylor*,Baylor,65.8%,Baylor,-3.3
11/7/2023,Sacramento St.,Nevada,Nevada,92.3%,Nevada,-17.4
11/7/2023,UC Irvine,San Jose St.,UC Irvine,73.7%,UC Irvine,-4.3
